"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","switchtoframe test","","0","1","0","0","0"
"","amazon test","","0","1","0","0","0"
"","suit test","","0","1","0","0","0"
"","JSON test","","0","0","1","0","0"
